Date,^GSPC,^IXIC,^GDAXI
02/01/1997,737.01001,1280.699951,2848.800049
03/01/1997,748.030029,1310.680054,2859.300049
06/01/1997,747.650024,1316.400024,2881.300049
07/01/1997,753.22998,1327.72998,2886.100098
08/01/1997,748.409973,1320.349976,2906.300049
09/01/1997,754.849976,1326.199951,2892.600098
10/01/1997,759.5,1332.02002,2933.399902
13/01/1997,759.51001,1330.910034,2955.0
14/01/1997,768.859985,1346.359985,2949.0
15/01/1997,767.200012,1333.530029,2988.5
16/01/1997,769.75,1340.459961,2993.300049
17/01/1997,776.169983,1349.050049,3001.399902
20/01/1997,776.700012,1364.280029,3030.699951
21/01/1997,782.719971,1376.969971,2976.699951
22/01/1997,786.22998,1388.060059,3028.699951
23/01/1997,777.559998,1378.369995,3033.5
24/01/1997,770.52002,1363.829956,2998.199951
27/01/1997,765.02002,1352.810059,2994.5
28/01/1997,765.02002,1354.369995,2989.300049
29/01/1997,772.5,1355.170044,2999.199951
30/01/1997,784.169983,1371.02002,3017.300049
31/01/1997,786.159973,1379.849976,3035.199951
03/02/1997,786.72998,1376.050049,3062.300049
04/02/1997,789.26001,1373.75,3067.100098
05/02/1997,778.280029,1348.439941,3098.0
06/02/1997,780.150024,1346.400024,3104.100098
07/02/1997,789.559998,1357.709961,3138.0
10/02/1997,785.429993,1335.339966,3184.399902
11/02/1997,789.590027,1331.51001,3187.600098
12/02/1997,802.77002,1358.959961,3216.100098
13/02/1997,811.820007,1370.810059,3229.5
14/02/1997,808.47998,1367.189941,3248.199951
18/02/1997,816.289978,1365.790039,3232.600098
19/02/1997,812.48999,1365.579956,3276.199951
20/02/1997,802.799988,1347.400024,3233.800049
21/02/1997,801.77002,1334.319946,3196.0
24/02/1997,810.280029,1345.079956,3184.100098
25/02/1997,812.030029,1347.689941,3184.199951
26/02/1997,805.679993,1340.550049,3233.199951
27/02/1997,795.070007,1312.660034,3237.899902
28/02/1997,790.820007,1309.0,3276.699951
03/03/1997,795.309998,1311.180054,3259.600098
04/03/1997,790.950012,1317.369995,3263.899902
05/03/1997,801.98999,1329.089966,3320.699951
06/03/1997,798.559998,1315.430054,3365.0
07/03/1997,804.969971,1311.800049,3417.600098
10/03/1997,813.650024,1322.719971,3376.199951
11/03/1997,811.340027,1316.76001,3436.100098
12/03/1997,804.26001,1304.130005,3460.600098
13/03/1997,789.559998,1293.280029,3415.399902
14/03/1997,793.169983,1292.969971,3349.800049
17/03/1997,795.710022,1279.430054,3359.300049
18/03/1997,789.659973,1269.339966,3351.0
19/03/1997,785.77002,1249.290039,3291.199951
20/03/1997,782.650024,1259.26001,3315.899902
21/03/1997,784.099976,1254.069946,3264.699951
24/03/1997,790.890015,1242.640015,3298.199951
25/03/1997,789.070007,1248.060059,3321.800049
26/03/1997,790.5,1269.079956,3349.100098
27/03/1997,773.880005,1249.51001,3418.100098
31/03/1997,757.119995,1221.699951,3429.100098
01/04/1997,759.640015,1216.930054,3295.899902
02/04/1997,750.109985,1201.0,3301.899902
03/04/1997,750.320007,1213.76001,3215.199951
04/04/1997,757.900024,1236.72998,3244.899902
07/04/1997,762.130005,1251.349976,3312.899902
08/04/1997,766.119995,1257.369995,3329.800049
09/04/1997,760.599976,1249.430054,3359.5
10/04/1997,758.340027,1235.77002,3351.5
11/04/1997,737.650024,1206.900024,3340.100098
14/04/1997,743.72998,1216.410034,3279.899902
15/04/1997,754.719971,1212.880005,3327.699951
16/04/1997,763.530029,1210.27002,3353.5
17/04/1997,761.77002,1217.069946,3383.300049
18/04/1997,766.340027,1222.569946,3344.399902
21/04/1997,760.369995,1203.949951,3347.600098
22/04/1997,774.609985,1212.73999,3340.300049
23/04/1997,773.640015,1227.140015,3396.0
24/04/1997,771.179993,1228.099976,3397.399902
25/04/1997,765.369995,1209.290039,3374.100098
28/04/1997,772.960022,1217.030029,3363.100098
29/04/1997,794.049988,1242.630005,3383.199951
30/04/1997,801.340027,1260.76001,3438.100098
01/05/1997,798.530029,1270.5,3460.399902
02/05/1997,812.969971,1305.329956,3528.800049
05/05/1997,830.289978,1339.23999,3568.300049
06/05/1997,827.76001,1328.300049,3552.0
07/05/1997,815.619995,1322.910034,3562.399902
08/05/1997,820.26001,1330.829956,3575.399902
09/05/1997,824.780029,1335.050049,3595.199951
12/05/1997,837.659973,1344.189941,3573.699951
13/05/1997,833.130005,1333.589966,3562.100098
14/05/1997,836.039978,1335.550049,3604.600098
15/05/1997,841.880005,1353.579956,3543.399902
16/05/1997,829.75,1340.72998,3596.100098
19/05/1997,833.27002,1341.23999,3579.399902
20/05/1997,841.659973,1363.880005,3602.199951
21/05/1997,839.349976,1373.75,3657.899902
22/05/1997,835.659973,1372.599976,3674.399902
23/05/1997,847.030029,1389.719971,3636.399902
27/05/1997,849.710022,1409.209961,3562.699951
28/05/1997,847.210022,1410.180054,3596.399902
29/05/1997,844.080017,1403.040039,3655.600098
30/05/1997,848.280029,1400.319946,3651.600098
02/06/1997,846.359985,1404.790039,3684.600098
03/06/1997,845.47998,1384.910034,3700.5
04/06/1997,840.109985,1379.670044,3668.600098
05/06/1997,843.429993,1390.050049,3671.199951
06/06/1997,858.01001,1404.839966,3671.899902
09/06/1997,862.909973,1412.040039,3737.199951
10/06/1997,865.27002,1401.689941,3752.399902
11/06/1997,869.570007,1407.849976,3750.0
12/06/1997,883.460022,1411.319946,3721.199951
13/06/1997,893.27002,1423.030029,3730.600098
16/06/1997,893.900024,1431.949951,3777.600098
17/06/1997,894.419983,1443.109985,3788.5
18/06/1997,889.059998,1432.430054,3748.800049
19/06/1997,897.98999,1447.140015,3761.100098
20/06/1997,898.700012,1447.099976,3819.5
23/06/1997,878.619995,1434.319946,3820.199951
24/06/1997,896.340027,1452.430054,3809.899902
25/06/1997,888.98999,1446.23999,3766.899902
26/06/1997,883.679993,1436.380005,3834.800049
27/06/1997,887.299988,1438.150024,3867.5
30/06/1997,885.140015,1442.069946,3939.699951
01/07/1997,891.030029,1438.25,3946.699951
02/07/1997,904.030029,1455.609985,4003.399902
03/07/1997,916.919983,1467.609985,4030.100098
07/07/1997,912.200012,1470.73999,4027.0
08/07/1997,918.75,1485.099976,4000.699951
09/07/1997,907.539978,1486.630005,4074.300049
10/07/1997,913.780029,1490.930054,4142.200195
11/07/1997,916.679993,1502.619995,4139.700195
14/07/1997,918.380005,1523.880005,4223.700195
15/07/1997,925.76001,1542.109985,4203.899902
16/07/1997,936.590027,1580.630005,4131.899902
17/07/1997,931.609985,1568.849976,4140.0
18/07/1997,915.299988,1547.98999,4297.600098
21/07/1997,912.940002,1536.22998,4384.799805
22/07/1997,933.97998,1563.859985,4320.5
23/07/1997,936.559998,1567.650024,4368.5
24/07/1997,940.299988,1569.130005,4400.299805
25/07/1997,938.789978,1569.579956,4377.700195
28/07/1997,936.450012,1563.530029,4458.700195
29/07/1997,942.289978,1572.319946,4405.5
30/07/1997,952.289978,1588.050049,4337.0
31/07/1997,954.309998,1593.810059,4302.5
01/08/1997,947.140015,1594.329956,4325.899902
04/08/1997,950.299988,1605.449951,4364.299805
05/08/1997,952.369995,1621.530029,4428.100098
06/08/1997,960.320007,1630.439941,4342.299805
07/08/1997,951.190002,1624.180054,4333.200195
08/08/1997,933.539978,1598.52002,4377.5
11/08/1997,937.0,1586.73999,4237.100098
12/08/1997,926.530029,1576.23999,4195.5
13/08/1997,922.02002,1583.400024,4077.600098
14/08/1997,924.77002,1586.689941,4080.600098
15/08/1997,900.809998,1562.030029,4190.5
18/08/1997,912.48999,1569.52002,4251.899902
19/08/1997,926.01001,1600.709961,4204.799805
20/08/1997,939.349976,1628.699951,4090.100098
21/08/1997,925.049988,1607.359985,4076.800049
22/08/1997,923.539978,1598.689941,3993.699951
25/08/1997,920.159973,1601.569946,3992.0
26/08/1997,913.02002,1591.300049,3897.399902
27/08/1997,913.700012,1595.540039,3919.800049
