Date,PG,BEI.DE
2007-01-03,46.849339,40.840446
2007-01-04,46.493664,41.108604
2007-01-05,46.094406,40.263515
2007-01-08,46.196045,40.271648
2007-01-09,46.079914,39.361546
2007-01-10,46.631596,38.865875
2007-01-11,46.92194,39.158401
2007-01-12,47.183273,39.524071
2007-01-16,47.183273,40.50729
2007-01-17,47.671959,38.849621
2007-01-18,47.803234,39.280285
2007-01-19,48.204388,39.199036
2007-01-22,47.934513,39.166531
2007-01-23,47.876171,39.207157
2007-01-24,47.781353,39.735336
2007-01-25,47.351017,38.963387
2007-01-26,47.307255,38.9715
2007-01-29,47.321846,39.483437
2007-01-30,47.110332,40.531666
2007-01-31,47.314545,41.888683
2007-02-01,47.657349,41.43364
2007-02-02,47.657349,41.726166
2007-02-05,47.518784,41.766804
2007-02-06,47.110332,41.563648
2007-02-07,47.030094,41.547401
2007-02-08,47.110332,41.108604
2007-02-09,46.993633,41.18174
2007-02-12,46.796696,41.141106
2007-02-13,47.197849,41.197979
2007-02-14,47.321846,41.734299
2007-02-15,47.402065,41.945568
2007-02-16,47.460426,41.563648
2007-02-20,47.321846,41.709927
2007-02-21,47.183273,41.604279
2007-02-22,47.197849,41.961811
2007-02-23,47.278088,42.457497
2007-02-26,47.000916,42.075581
2007-02-27,44.67421,40.50729
2007-02-28,46.308002,39.816597
2007-03-01,46.446594,39.04464
2007-03-02,46.067329,39.459057
2007-03-05,45.797451,39.199036
2007-03-06,45.906857,39.158401
2007-03-07,45.279591,39.751591
2007-03-08,45.447346,40.23914
2007-03-09,45.337936,40.767319
2007-03-12,45.286888,40.255394
2007-03-13,44.615868,40.182262
2007-03-14,44.754452,39.402176
2007-03-15,45.155602,40.100998
2007-03-16,44.936779,39.654083
2007-03-19,45.20665,40.271648
2007-03-20,45.425465,40.95422
2007-03-21,45.921436,40.905453
2007-03-22,46.57058,41.27924
2007-03-23,46.534115,41.230495
2007-03-26,46.607059,40.775448
2007-03-27,46.147549,41.11673
2007-03-28,45.957909,40.539791
2007-03-29,46.140251,41.328007
2007-03-30,46.067329,41.482391
2007-04-02,45.965206,41.685535
2007-04-03,45.877678,42.164963
2007-04-04,45.987095,42.595634
2007-04-05,45.950626,42.733776
2007-04-09,46.140251,
2007-04-10,46.103786,43.554482
2007-04-11,45.979786,43.310707
2007-04-12,46.329906,43.261951
2007-04-13,46.227776,43.586983
2007-04-16,46.483055,43.879509
2007-04-17,46.607059,43.497604
2007-04-18,46.504944,43.952648
2007-04-19,46.40284,43.521976
2007-04-20,46.534115,43.968899
2007-04-23,46.410126,44.31831
2007-04-24,46.483055,43.440712
2007-04-25,46.593071,43.838886
2007-04-26,46.197037,43.912014
2007-04-27,46.189705,43.788769
2007-04-30,47.23114,43.591553
2007-05-01,46.175026,
2007-05-02,45.742325,44.700855
2007-05-03,45.470963,43.731243
2007-05-04,45.771652,44.092793
2007-05-07,45.602978,44.405048
2007-05-08,45.287613,43.706585
2007-05-09,45.478294,43.336823
2007-05-10,45.096931,43.484734
2007-05-11,45.214283,43.320393
2007-05-14,45.265621,43.295734
2007-05-15,45.522293,43.435421
2007-05-16,46.439064,43.386127
2007-05-17,46.475731,43.640862
2007-05-18,46.556404,43.838066
2007-05-21,46.402382,43.903801
2007-05-22,46.20438,43.846283
2007-05-23,46.277699,43.624424
2007-05-24,46.109016,43.041016
2007-05-25,46.175026,43.10675
2007-05-29,46.68108,43.501163
2007-05-30,46.827759,43.008144
2007-05-31,46.607746,43.887367
2007-06-01,46.556404,44.372181
2007-06-04,46.343723,44.290005
2007-06-05,46.541737,45.185669
2007-06-06,46.343723,43.698372
2007-06-07,45.705669,42.769844
2007-06-08,46.255707,42.712322
2007-06-11,46.241039,43.501163
2007-06-12,45.58831,43.246437
2007-06-13,45.742325,42.59729
2007-06-14,45.778996,43.476513
2007-06-15,45.889008,44.881634
2007-06-18,45.302288,44.561169
2007-06-19,45.338951,43.813412
2007-06-20,45.426964,44.232487
